 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 2815.67 sec, current time: 523434789.69)
0.015	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.020	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.020	                       -	                   -	Blocking app contact
0.066	                       -	                   -	Successfully read encryption key from keychain in 0.04695 seconds
2.578	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
2.579	                       -	                   -	server_show_windows_for_asns start
2.579	                       -	                   -	Allowing apps to contact us
2.580	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.580	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, com.apple.Safari, Finder
2.581	                       -	                   -	Finder was already launched
2.581	                       -	                   -	Liveness: 3 -> 4 (add_app)
2.581	      com.apple.Terminal	           Launching	
2.590	          com.apple.mail	           Launching	
2.598	        com.apple.Safari	           Launching	
2.606	        com.apple.finder	           Launching	
2.613	                       -	                   -	loginwindow launched apps com.apple.Terminal, com.apple.mail, com.apple.Safari, com.apple.finder
2.613	                       -	                   -	Bitmaps Ready (4 apps, 0 windows)
2.613	      com.apple.Terminal	                   -	Disposing because it has no windows
2.616	      com.apple.Terminal	            Disposed	
2.616	          com.apple.mail	                   -	Disposing because it has no windows
2.618	          com.apple.mail	            Disposed	
2.618	        com.apple.Safari	                   -	Disposing because it has no windows
2.620	        com.apple.Safari	            Disposed	
2.620	        com.apple.finder	                   -	Disposing because it has no windows
2.622	        com.apple.finder	            Disposed	
2.622	                       -	                   -	server_show_windows_for_asns end
2.631	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.631	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, com.apple.Safari, Finder
2.631	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.631	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, com.apple.Safari, Finder
2.631	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.631	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, com.apple.Safari, Finder
2.631	                       -	                   -	Refusing connection from pid 7053 (app was (null))
2.632	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.632	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, com.apple.Safari, Finder
2.632	                       -	                   -	Refusing connection from pid 7046 (app was (null))
2.632	                       -	                   -	Refusing connection from pid 7048 (app was (null))
2.645	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.645	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, com.apple.Safari, Finder
2.689	        com.apple.Safari	                   -	Registered as TAL ready
2.690	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.690	                       -	                   -	Still waiting for registration from com.apple.Terminal, com.apple.mail, Finder
2.690	          com.apple.mail	                   -	Registered as TAL ready
2.690	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.691	                       -	                   -	Still waiting for registration from com.apple.Terminal, Finder
2.822	        com.apple.finder	                   -	Finder checked in
2.822	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
2.822	                       -	                   -	Still waiting for registration from com.apple.Terminal
3.199	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
3.199	                       -	                   -	Still waiting for registration from com.apple.Terminal
3.319	                       -	                   -	Liveness: 4 -> 3 (__create_xpc_listener_block_invoke)
3.992	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
3.992	                       -	                   -	Still waiting for registration from com.apple.Terminal
4.808	                       -	                   -	TAL launch still in progress because com.apple.Terminal is unstopped (no) and/or unhidden (yes)
4.808	                       -	                   -	Still waiting for registration from com.apple.Terminal
4.820	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
12.585	                       -	                   -	Assuming that all apps that will be started, have been started. Stopped apps will no longer delay TAL launch completion.
12.586	                       -	                   -	All started apps have registered (remaining TAL app(s) are com.apple.Terminal)
12.587	                       -	                   -	Waiting for Dock...
12.587	                       -	                   -	Dock is avaialable.
12.587	                       -	                   -	Liveness: 2 -> 3 (_wait_for_dock)
12.587	                       -	                   -	TAL Relaunch - all apps registered as ready
12.587	                       -	                   -	Liveness: 3 -> 2 (__server_show_windows_for_asns_block_invoke.34)
12.588	                       -	                   -	Liveness: 2 -> 1 (___wait_for_dock_block_invoke_3)
16.010	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
16.010	                       -	                   -	Exiting out of boredom
